prov_name,province,psgc,pt_urb_2012,pt_urb_2015_old,pt_rur_2012,pt_rur_2015_old,pt_urb_2015_new,pt_urb_2018,pt_rur_2015_new,pt_rur_2018
Sorsogon,6200,056201,18512.0693595879,21615.4086559646,17534.6555587914,20479.7861364342,24359.3011599599,27544.0355148217,23064.7286266648,25956.6089073464
South Cotabato,6300,126301,20136.3286424890,22512.2270658126,19584.3282622598,21834.5456569612,21740.7990834885,25542.0306458542,20992.5533438350,24691.9662036374
Southern Leyte,6400,086400,20342.9721551577,24495.3285344360,19431.2850289904,23317.6422249692,25123.1674478211,26965.3969311726,23931.5600179178,25674.3947814749
Sultan Kudarat,6500,126500,18168.9772278346,21295.7966017740,17466.2394580667,20410.6358437119,21918.6596018903,24509.5231275956,21016.0389517399,23624.6598883002
Sulu,6600,156600,21052.0331839260,21495.7423770784,20311.2633259058,20654.4427013719,23910.6544465130,30111.7141629672,22859.0433910927,28650.0930832021
Surigao del Norte,6700,166700,21393.6284903412,24019.2814388233,20398.6265577087,22925.6169235687,25812.1151367607,29583.1304596878,24411.2845481885,27978.8056709151
Surigao del Sur,6800,166800,19879.3353997708,23621.2372905628,18992.5164768839,22560.2749534584,23734.9276815122,25766.1463554346,22675.4976371187,24656.5945868538
Tarlac,6900,036900,19570.1417728770,23989.9770580762,18588.7154518115,22785.5782330345,23241.8731204353,26009.7379349850,22113.5615065158,24760.5613633109
Tawi-Tawi,7000,157000,17988.4652562456,17346.0143713148,17279.0411443563,16586.0716981469,18435.5864241730,22035.3859372762,17598.9975655163,20994.8732636403
Zambales,7100,037100,22537.2619218101,27327.2250634734,21257.8691106974,25835.4104645912,27815.4088500644,30699.5560647286,26361.0196190749,29018.7598453387
Zamboanga del Norte,7200,097200,19358.9242382416,22703.4955288678,18447.8494781956,21658.2465621309,25507.2891307461,29723.0559931262,24206.3296577402,28222.7695832737
Zamboanga del Sur,7300,097301,18658.2398708047,20908.8053796351,17782.4102232278,19944.1778640928,21238.1497923529,24847.7731633968,20250.7518258628,23684.6627523987
NCR District 2,7400,137400,20343.9500532828,25006.5034230556,0.0000000000,0.0000000000,25187.9578977517,28682.2740942288,0.0000000000,0.0000000000
NCR District 3,7500,137500,20343.9500532828,25006.5034230556,0.0000000000,0.0000000000,25187.9578977517,28682.2740942288,0.0000000000,0.0000000000
NCR District 4,7600,137600,20343.9500532828,25006.5034230556,0.0000000000,0.0000000000,25187.9578977517,28682.2740942288,0.0000000000,0.0000000000
Aurora,7700,037700,19535.1997708721,21619.3367699631,18465.9601890305,20457.8668178605,23833.3810683087,26409.0075898611,22665.1296004583,25100.3723328082
Biliran,7800,087800,18091.1566883727,22074.6104563071,17280.1211989346,21007.7330132264,22482.2976199474,25427.5927460616,21372.3959219820,24155.9811852098
Guimaras,7900,067900,19952.3677696688,24497.4618801014,18925.7487100444,23136.0325239696,24649.5775454676,27341.6869540312,23326.5072318488,25854.6613203494
Sarangani,8000,128000,19096.8254319376,21361.2522115329,18311.0121780094,20489.3130845997,20700.7017041386,23703.5658026636,19839.8968924531,22762.8526421309
Apayao,8100,148100,19592.9757420410,22014.0631917079,18623.1070515251,20946.9826336188,24600.9021910354,24374.2660747530,23310.4396391236,23134.7987970786
Compostela Valley,8200,118200,21544.2255910655,23190.3670585389,20769.8747620908,22383.3980186396,22609.1823651769,26451.9083389429,21801.2694242818,25317.9302498983
Zamboanga Sibugay,8300,098300,18198.4820277818,21364.1651620030,17147.7158814263,20480.6482043362,22195.4583416870,23942.5088500644,21293.7634970643,22990.5488901618
Dinagat Islands,8500,168500,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25677.7889159387,27809.8238579407,24257.1960475440,26316.3396820851
Davao Occidental,8600,118600,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26310.8424150432,0.0000000000,25062.9265084691
City of Isabela,9700,099701,20145.4515934563,21601.0442868005,19324.8028292711,20617.1258868452,23641.0282113705,26982.3857940713,22448.0452527567,25411.7571244451
Cotabato City,9804,129804,20655.5320759281,21947.1898755536,19785.8802936045,21030.9513081713,25738.5801374767,30542.8751253043,24549.3383932407,29053.7677216096

